index_nm,tx_month,close
MSCI China NET TOTAL RETURN LOCAL,1998-12-01,126.66500091552734
MSCI China NET TOTAL RETURN LOCAL,1999-01-01,103.13700103759766
MSCI China NET TOTAL RETURN LOCAL,1999-02-01,98.75599670410156
MSCI China NET TOTAL RETURN LOCAL,1999-03-01,112.06199645996094
MSCI China NET TOTAL RETURN LOCAL,1999-04-01,140.20399475097656
MSCI China NET TOTAL RETURN LOCAL,1999-05-01,140.1719970703125
MSCI China NET TOTAL RETURN LOCAL,1999-06-01,206.03700256347656
MSCI China NET TOTAL RETURN LOCAL,1999-07-01,180.4810028076172
MSCI China NET TOTAL RETURN LOCAL,1999-08-01,179.14700317382812
MSCI China NET TOTAL RETURN LOCAL,1999-09-01,171.7790069580078
MSCI China NET TOTAL RETURN LOCAL,1999-10-01,157.5659942626953
MSCI China NET TOTAL RETURN LOCAL,1999-11-01,154.51199340820312
MSCI China NET TOTAL RETURN LOCAL,1999-12-01,142.98699951171875
MSCI China NET TOTAL RETURN LOCAL,2000-01-01,136.84500122070312
MSCI China NET TOTAL RETURN LOCAL,2000-02-01,111.74800109863281
MSCI China NET TOTAL RETURN LOCAL,2000-03-01,114.58200073242188
MSCI China NET TOTAL RETURN LOCAL,2000-04-01,125.29299926757812
MSCI China NET TOTAL RETURN LOCAL,2000-05-01,128.21099853515625
MSCI China NET TOTAL RETURN LOCAL,2000-06-01,145.2570037841797
MSCI China NET TOTAL RETURN LOCAL,2000-07-01,142.56199645996094
MSCI China NET TOTAL RETURN LOCAL,2000-08-01,136.7740020751953
MSCI China NET TOTAL RETURN LOCAL,2000-09-01,119.99500274658203
MSCI China NET TOTAL RETURN LOCAL,2000-10-01,114.41999816894531
MSCI China NET TOTAL RETURN LOCAL,2000-11-01,99.18599700927734
MSCI China NET TOTAL RETURN LOCAL,2000-12-01,100.0
MSCI China NET TOTAL RETURN LOCAL,2001-01-01,114.48799896240234
MSCI China NET TOTAL RETURN LOCAL,2001-02-01,104.05400085449219
MSCI China NET TOTAL RETURN LOCAL,2001-03-01,87.16100311279297
MSCI China NET TOTAL RETURN LOCAL,2001-04-01,96.00499725341797
MSCI China NET TOTAL RETURN LOCAL,2001-05-01,98.63500213623047
MSCI China NET TOTAL RETURN LOCAL,2001-06-01,101.88899993896484
MSCI China NET TOTAL RETURN LOCAL,2001-07-01,88.08399963378906
MSCI China NET TOTAL RETURN LOCAL,2001-08-01,69.02200317382812
MSCI China NET TOTAL RETURN LOCAL,2001-09-01,66.66999816894531
MSCI China NET TOTAL RETURN LOCAL,2001-10-01,68.375
MSCI China NET TOTAL RETURN LOCAL,2001-11-01,75.02799987792969
MSCI China NET TOTAL RETURN LOCAL,2001-12-01,75.26899719238281
MSCI China NET TOTAL RETURN LOCAL,2002-01-01,68.22100067138672
MSCI China NET TOTAL RETURN LOCAL,2002-02-01,68.76899719238281
MSCI China NET TOTAL RETURN LOCAL,2002-03-01,72.65499877929688
MSCI China NET TOTAL RETURN LOCAL,2002-04-01,75.822998046875
MSCI China NET TOTAL RETURN LOCAL,2002-05-01,76.99099731445312
MSCI China NET TOTAL RETURN LOCAL,2002-06-01,74.40599822998047
MSCI China NET TOTAL RETURN LOCAL,2002-07-01,71.15399932861328
MSCI China NET TOTAL RETURN LOCAL,2002-08-01,69.77100372314453
MSCI China NET TOTAL RETURN LOCAL,2002-09-01,64.21199798583984
MSCI China NET TOTAL RETURN LOCAL,2002-10-01,64.5780029296875
MSCI China NET TOTAL RETURN LOCAL,2002-11-01,67.24400329589844
MSCI China NET TOTAL RETURN LOCAL,2002-12-01,64.70099639892578
MSCI China NET TOTAL RETURN LOCAL,2003-01-01,67.80799865722656
MSCI China NET TOTAL RETURN LOCAL,2003-02-01,66.11100006103516
MSCI China NET TOTAL RETURN LOCAL,2003-03-01,63.56999969482422
MSCI China NET TOTAL RETURN LOCAL,2003-04-01,63.64899826049805
MSCI China NET TOTAL RETURN LOCAL,2003-05-01,71.77799987792969
MSCI China NET TOTAL RETURN LOCAL,2003-06-01,76.37300109863281
MSCI China NET TOTAL RETURN LOCAL,2003-07-01,83.95500183105469
MSCI China NET TOTAL RETURN LOCAL,2003-08-01,89.54199981689453
MSCI China NET TOTAL RETURN LOCAL,2003-09-01,89.5999984741211
MSCI China NET TOTAL RETURN LOCAL,2003-10-01,103.50599670410156
MSCI China NET TOTAL RETURN LOCAL,2003-11-01,104.5530014038086
MSCI China NET TOTAL RETURN LOCAL,2003-12-01,120.82499694824219
MSCI China NET TOTAL RETURN LOCAL,2004-01-01,120.21800231933594
MSCI China NET TOTAL RETURN LOCAL,2004-02-01,127.84600067138672
MSCI China NET TOTAL RETURN LOCAL,2004-03-01,117.18299865722656
MSCI China NET TOTAL RETURN LOCAL,2004-04-01,101.98500061035156
MSCI China NET TOTAL RETURN LOCAL,2004-05-01,108.90899658203125
MSCI China NET TOTAL RETURN LOCAL,2004-06-01,108.322998046875
MSCI China NET TOTAL RETURN LOCAL,2004-07-01,108.7239990234375
MSCI China NET TOTAL RETURN LOCAL,2004-08-01,109.1719970703125
MSCI China NET TOTAL RETURN LOCAL,2004-09-01,117.23799896240234
MSCI China NET TOTAL RETURN LOCAL,2004-10-01,114.16799926757812
MSCI China NET TOTAL RETURN LOCAL,2004-11-01,125.53800201416016
MSCI China NET TOTAL RETURN LOCAL,2004-12-01,123.2490005493164
MSCI China NET TOTAL RETURN LOCAL,2005-01-01,120.98400115966797
MSCI China NET TOTAL RETURN LOCAL,2005-02-01,129.93499755859375
MSCI China NET TOTAL RETURN LOCAL,2005-03-01,123.24199676513672
MSCI China NET TOTAL RETURN LOCAL,2005-04-01,123.69300079345703
MSCI China NET TOTAL RETURN LOCAL,2005-05-01,124.63200378417969
MSCI China NET TOTAL RETURN LOCAL,2005-06-01,129.73199462890625
MSCI China NET TOTAL RETURN LOCAL,2005-07-01,139.16400146484375
MSCI China NET TOTAL RETURN LOCAL,2005-08-01,139.88900756835938
MSCI China NET TOTAL RETURN LOCAL,2005-09-01,147.83900451660156
MSCI China NET TOTAL RETURN LOCAL,2005-10-01,133.26600646972656
MSCI China NET TOTAL RETURN LOCAL,2005-11-01,142.6909942626953
MSCI China NET TOTAL RETURN LOCAL,2005-12-01,147.24899291992188
MSCI China NET TOTAL RETURN LOCAL,2006-01-01,168.04800415039062
MSCI China NET TOTAL RETURN LOCAL,2006-02-01,173.37399291992188
MSCI China NET TOTAL RETURN LOCAL,2006-03-01,178.9409942626953
MSCI China NET TOTAL RETURN LOCAL,2006-04-01,188.16600036621094
MSCI China NET TOTAL RETURN LOCAL,2006-05-01,178.5540008544922
MSCI China NET TOTAL RETURN LOCAL,2006-06-01,182.4720001220703
MSCI China NET TOTAL RETURN LOCAL,2006-07-01,187.4149932861328
MSCI China NET TOTAL RETURN LOCAL,2006-08-01,191.63800048828125
MSCI China NET TOTAL RETURN LOCAL,2006-09-01,199.16600036621094
MSCI China NET TOTAL RETURN LOCAL,2006-10-01,212.5800018310547
MSCI China NET TOTAL RETURN LOCAL,2006-11-01,235.76199340820312
MSCI China NET TOTAL RETURN LOCAL,2006-12-01,270.0950012207031
MSCI China NET TOTAL RETURN LOCAL,2007-01-01,259.7030029296875
MSCI China NET TOTAL RETURN LOCAL,2007-02-01,255.2469940185547
MSCI China NET TOTAL RETURN LOCAL,2007-03-01,265.1499938964844
MSCI China NET TOTAL RETURN LOCAL,2007-04-01,275.37200927734375
MSCI China NET TOTAL RETURN LOCAL,2007-05-01,295.7139892578125
MSCI China NET TOTAL RETURN LOCAL,2007-06-01,330.135009765625
MSCI China NET TOTAL RETURN LOCAL,2007-07-01,364.69000244140625
MSCI China NET TOTAL RETURN LOCAL,2007-08-01,389.49700927734375
MSCI China NET TOTAL RETURN LOCAL,2007-09-01,465.4779968261719
MSCI China NET TOTAL RETURN LOCAL,2007-10-01,541.4749755859375
MSCI China NET TOTAL RETURN LOCAL,2007-11-01,470.3819885253906
MSCI China NET TOTAL RETURN LOCAL,2007-12-01,450.1499938964844
MSCI China NET TOTAL RETURN LOCAL,2008-01-01,353.04998779296875
MSCI China NET TOTAL RETURN LOCAL,2008-02-01,390.3280029296875
MSCI China NET TOTAL RETURN LOCAL,2008-03-01,342.89300537109375
MSCI China NET TOTAL RETURN LOCAL,2008-04-01,397.010009765625
MSCI China NET TOTAL RETURN LOCAL,2008-05-01,377.7669982910156
MSCI China NET TOTAL RETURN LOCAL,2008-06-01,331.6440124511719
MSCI China NET TOTAL RETURN LOCAL,2008-07-01,339.4930114746094
MSCI China NET TOTAL RETURN LOCAL,2008-08-01,311.81298828125
MSCI China NET TOTAL RETURN LOCAL,2008-09-01,246.95899963378906
MSCI China NET TOTAL RETURN LOCAL,2008-10-01,190.45399475097656
MSCI China NET TOTAL RETURN LOCAL,2008-11-01,199.11300659179688
MSCI China NET TOTAL RETURN LOCAL,2008-12-01,220.02099609375
MSCI China NET TOTAL RETURN LOCAL,2009-01-01,201.86700439453125
MSCI China NET TOTAL RETURN LOCAL,2009-02-01,195.46600341796875
MSCI China NET TOTAL RETURN LOCAL,2009-03-01,222.94500732421875
MSCI China NET TOTAL RETURN LOCAL,2009-04-01,247.66000366210938
MSCI China NET TOTAL RETURN LOCAL,2009-05-01,290.52099609375
MSCI China NET TOTAL RETURN LOCAL,2009-06-01,302.2850036621094
MSCI China NET TOTAL RETURN LOCAL,2009-07-01,335.02899169921875
MSCI China NET TOTAL RETURN LOCAL,2009-08-01,311.4989929199219
MSCI China NET TOTAL RETURN LOCAL,2009-09-01,325.9110107421875
MSCI China NET TOTAL RETURN LOCAL,2009-10-01,346.91900634765625
MSCI China NET TOTAL RETURN LOCAL,2009-11-01,355.43798828125
MSCI China NET TOTAL RETURN LOCAL,2009-12-01,357.2550048828125
MSCI China NET TOTAL RETURN LOCAL,2010-01-01,326.89898681640625
MSCI China NET TOTAL RETURN LOCAL,2010-02-01,333.9620056152344
MSCI China NET TOTAL RETURN LOCAL,2010-03-01,352.1099853515625
MSCI China NET TOTAL RETURN LOCAL,2010-04-01,350.8219909667969
MSCI China NET TOTAL RETURN LOCAL,2010-05-01,332.6549987792969
MSCI China NET TOTAL RETURN LOCAL,2010-06-01,336.78900146484375
MSCI China NET TOTAL RETURN LOCAL,2010-07-01,350.52099609375
MSCI China NET TOTAL RETURN LOCAL,2010-08-01,341.4469909667969
MSCI China NET TOTAL RETURN LOCAL,2010-09-01,371.6319885253906
MSCI China NET TOTAL RETURN LOCAL,2010-10-01,385.55999755859375
MSCI China NET TOTAL RETURN LOCAL,2010-11-01,377.0329895019531
MSCI China NET TOTAL RETURN LOCAL,2010-12-01,374.72100830078125
MSCI China NET TOTAL RETURN LOCAL,2011-01-01,373.8240051269531
MSCI China NET TOTAL RETURN LOCAL,2011-02-01,366.77301025390625
MSCI China NET TOTAL RETURN LOCAL,2011-03-01,385.75
MSCI China NET TOTAL RETURN LOCAL,2011-04-01,391.3590087890625
MSCI China NET TOTAL RETURN LOCAL,2011-05-01,393.1090087890625
MSCI China NET TOTAL RETURN LOCAL,2011-06-01,378.57598876953125
MSCI China NET TOTAL RETURN LOCAL,2011-07-01,376.093994140625
MSCI China NET TOTAL RETURN LOCAL,2011-08-01,340.83099365234375
MSCI China NET TOTAL RETURN LOCAL,2011-09-01,283.218994140625
MSCI China NET TOTAL RETURN LOCAL,2011-10-01,325.3340148925781
MSCI China NET TOTAL RETURN LOCAL,2011-11-01,298.4020080566406
MSCI China NET TOTAL RETURN LOCAL,2011-12-01,305.4590148925781
MSCI China NET TOTAL RETURN LOCAL,2012-01-01,338.00201416015625
MSCI China NET TOTAL RETURN LOCAL,2012-02-01,360.0849914550781
MSCI China NET TOTAL RETURN LOCAL,2012-03-01,335.6400146484375
MSCI China NET TOTAL RETURN LOCAL,2012-04-01,347.2869873046875
MSCI China NET TOTAL RETURN LOCAL,2012-05-01,310.7380065917969
MSCI China NET TOTAL RETURN LOCAL,2012-06-01,316.97198486328125
MSCI China NET TOTAL RETURN LOCAL,2012-07-01,321.35101318359375
MSCI China NET TOTAL RETURN LOCAL,2012-08-01,311.3760070800781
MSCI China NET TOTAL RETURN LOCAL,2012-09-01,331.6090087890625
MSCI China NET TOTAL RETURN LOCAL,2012-10-01,350.4119873046875
MSCI China NET TOTAL RETURN LOCAL,2012-11-01,356.9630126953125
MSCI China NET TOTAL RETURN LOCAL,2012-12-01,374.18499755859375
MSCI China NET TOTAL RETURN LOCAL,2013-01-01,389.85101318359375
MSCI China NET TOTAL RETURN LOCAL,2013-02-01,374.4880065917969
MSCI China NET TOTAL RETURN LOCAL,2013-03-01,357.7430114746094
MSCI China NET TOTAL RETURN LOCAL,2013-04-01,361.7120056152344
MSCI China NET TOTAL RETURN LOCAL,2013-05-01,358.6390075683594
MSCI China NET TOTAL RETURN LOCAL,2013-06-01,333.28399658203125
MSCI China NET TOTAL RETURN LOCAL,2013-07-01,346.7279968261719
MSCI China NET TOTAL RETURN LOCAL,2013-08-01,355.0979919433594
MSCI China NET TOTAL RETURN LOCAL,2013-09-01,373.8059997558594
MSCI China NET TOTAL RETURN LOCAL,2013-10-01,383.08599853515625
MSCI China NET TOTAL RETURN LOCAL,2013-11-01,401.68701171875
MSCI China NET TOTAL RETURN LOCAL,2013-12-01,387.9639892578125
MSCI China NET TOTAL RETURN LOCAL,2014-01-01,362.489990234375
MSCI China NET TOTAL RETURN LOCAL,2014-02-01,371.82501220703125
MSCI China NET TOTAL RETURN LOCAL,2014-03-01,365.364990234375
MSCI China NET TOTAL RETURN LOCAL,2014-04-01,356.83599853515625
MSCI China NET TOTAL RETURN LOCAL,2014-05-01,373.48699951171875
MSCI China NET TOTAL RETURN LOCAL,2014-06-01,385.197998046875
MSCI China NET TOTAL RETURN LOCAL,2014-07-01,416.3210144042969
MSCI China NET TOTAL RETURN LOCAL,2014-08-01,417.26300048828125
MSCI China NET TOTAL RETURN LOCAL,2014-09-01,391.4020080566406
MSCI China NET TOTAL RETURN LOCAL,2014-10-01,407.75201416015625
MSCI China NET TOTAL RETURN LOCAL,2014-11-01,414.1289978027344
MSCI China NET TOTAL RETURN LOCAL,2014-12-01,418.9150085449219
MSCI China NET TOTAL RETURN LOCAL,2015-01-01,428.3139953613281
MSCI China NET TOTAL RETURN LOCAL,2015-02-01,442.3110046386719
MSCI China NET TOTAL RETURN LOCAL,2015-03-01,452.8169860839844
MSCI China NET TOTAL RETURN LOCAL,2015-04-01,528.2020263671875
MSCI China NET TOTAL RETURN LOCAL,2015-05-01,508.6780090332031
MSCI China NET TOTAL RETURN LOCAL,2015-06-01,480.1400146484375
MSCI China NET TOTAL RETURN LOCAL,2015-07-01,428.4360046386719
MSCI China NET TOTAL RETURN LOCAL,2015-08-01,378.26800537109375
MSCI China NET TOTAL RETURN LOCAL,2015-09-01,370.96099853515625
MSCI China NET TOTAL RETURN LOCAL,2015-10-01,404.6440124511719
MSCI China NET TOTAL RETURN LOCAL,2015-11-01,391.0870056152344
MSCI China NET TOTAL RETURN LOCAL,2015-12-01,385.91400146484375
MSCI China NET TOTAL RETURN LOCAL,2016-01-01,338.0880126953125
MSCI China NET TOTAL RETURN LOCAL,2016-02-01,329.28900146484375
MSCI China NET TOTAL RETURN LOCAL,2016-03-01,367.656005859375
MSCI China NET TOTAL RETURN LOCAL,2016-04-01,366.9580078125
MSCI China NET TOTAL RETURN LOCAL,2016-05-01,364.6570129394531
MSCI China NET TOTAL RETURN LOCAL,2016-06-01,368.1789855957031
MSCI China NET TOTAL RETURN LOCAL,2016-07-01,381.1050109863281
MSCI China NET TOTAL RETURN LOCAL,2016-08-01,409.052001953125
MSCI China NET TOTAL RETURN LOCAL,2016-09-01,419.35699462890625
MSCI China NET TOTAL RETURN LOCAL,2016-10-01,411.1910095214844
MSCI China NET TOTAL RETURN LOCAL,2016-11-01,406.3429870605469
MSCI China NET TOTAL RETURN LOCAL,2016-12-01,389.58099365234375
MSCI China NET TOTAL RETURN LOCAL,2017-01-01,416.2829895019531
MSCI China NET TOTAL RETURN LOCAL,2017-02-01,431.14599609375
MSCI China NET TOTAL RETURN LOCAL,2017-03-01,440.74798583984375
MSCI China NET TOTAL RETURN LOCAL,2017-04-01,452.77099609375
MSCI China NET TOTAL RETURN LOCAL,2017-05-01,477.3489990234375
MSCI China NET TOTAL RETURN LOCAL,2017-06-01,488.9909973144531
MSCI China NET TOTAL RETURN LOCAL,2017-07-01,532.6279907226562
MSCI China NET TOTAL RETURN LOCAL,2017-08-01,555.9409790039062
MSCI China NET TOTAL RETURN LOCAL,2017-09-01,560.8939819335938
MSCI China NET TOTAL RETURN LOCAL,2017-10-01,582.7000122070312
MSCI China NET TOTAL RETURN LOCAL,2017-11-01,598.56298828125
